datetime,open,high,low,close,volume
2025-01-07 12:00:00+09:00,217.3047,218.1077,217.0542,217.4974,19.6
2025-01-07 13:00:00+09:00,217.4974,218.0674,215.9021,217.0123,168.38
2025-01-07 14:00:00+09:00,217.0123,217.0123,215.5131,216.3593,150.59
2025-01-07 15:00:00+09:00,216.3593,217.0208,215.5912,216.3268,78.54
2025-01-07 16:00:00+09:00,216.3268,217.0145,215.9527,216.0747,25.03
2025-01-07 17:00:00+09:00,216.0747,217.3301,215.75,217.2599,80.08
2025-01-07 18:00:00+09:00,217.2599,217.2722,215.0,215.8083,105.28
2025-01-07 19:00:00+09:00,215.8083,215.8083,214.0562,215.5458,106.46
2025-01-07 20:00:00+09:00,215.5458,215.9349,213.3739,214.6822,159.96
2025-01-07 21:00:00+09:00,214.6822,214.6822,212.7285,213.3315,247.61
2025-01-07 22:00:00+09:00,213.3315,214.3349,213.3315,213.9878,91.13
2025-01-07 23:00:00+09:00,213.9878,214.5072,211.4875,211.4875,52.15
2025-01-08 00:00:00+09:00,211.4875,212.4744,206.0,207.6003,174.84
2025-01-08 01:00:00+09:00,207.6003,209.5332,207.5242,207.9816,82.9
2025-01-08 02:00:00+09:00,207.9816,208.3224,206.155,206.9138,82.73
2025-01-08 03:00:00+09:00,206.9138,206.9138,203.7455,205.2167,24.06
2025-01-08 04:00:00+09:00,205.2167,205.4856,203.938,204.621,25.19
2025-01-08 05:00:00+09:00,204.621,204.95,202.3299,204.0041,81.15
2025-01-08 06:00:00+09:00,204.0041,205.181,202.6557,202.6569,190.26
2025-01-08 07:00:00+09:00,202.6569,204.4217,201.9096,203.8349,89.57
2025-01-08 08:00:00+09:00,203.8349,203.8349,202.2357,202.746,123.76
2025-01-08 09:00:00+09:00,202.746,203.6188,202.5,202.8673,122.3
2025-01-08 10:00:00+09:00,202.8673,202.8797,199.9992,201.1289,90.27
2025-01-08 11:00:00+09:00,201.1289,202.1041,200.5814,200.7399,9.76
2025-01-08 12:00:00+09:00,200.7399,200.7399,196.8346,198.5464,93.41
2025-01-08 13:00:00+09:00,198.5464,199.567,197.2437,197.4607,100.6
2025-01-08 14:00:00+09:00,197.4607,197.9761,195.9997,196.0034,182.0
2025-01-08 15:00:00+09:00,196.0034,196.9107,194.0006,194.0006,133.09
2025-01-08 16:00:00+09:00,194.0006,196.4082,193.4862,196.2561,31.48
2025-01-08 17:00:00+09:00,196.2561,197.7739,195.2737,197.4516,16.21
2025-01-08 18:00:00+09:00,197.4516,198.2334,196.5283,196.5283,65.61
2025-01-08 19:00:00+09:00,196.5283,198.2423,196.5283,197.463,102.12
2025-01-08 20:00:00+09:00,197.463,197.722,194.4598,195.9349,55.39
2025-01-08 21:00:00+09:00,195.9349,196.616,194.6458,195.434,122.86
2025-01-08 22:00:00+09:00,195.434,197.7922,195.434,197.7521,112.25
2025-01-08 23:00:00+09:00,197.7521,198.6189,197.0611,197.7602,159.2
2025-01-09 00:00:00+09:00,197.7602,199.0248,197.0,197.4761,67.19
2025-01-09 01:00:00+09:00,197.4761,197.8724,194.6552,194.6623,132.08
2025-01-09 02:00:00+09:00,194.6623,194.7283,188.1882,193.1096,199.64
2025-01-09 03:00:00+09:00,193.1096,196.6151,193.1096,193.9145,31.65
2025-01-09 04:00:00+09:00,193.9145,195.2049,193.3998,193.9076,131.45
2025-01-09 05:00:00+09:00,193.9076,195.931,193.9076,195.8634,8.79
2025-01-09 06:00:00+09:00,195.8634,195.8666,194.3637,195.372,45.04
2025-01-09 07:00:00+09:00,195.372,197.7391,195.3719,197.7391,23.24
2025-01-09 08:00:00+09:00,197.7391,197.8504,196.5893,197.2325,75.57
2025-01-09 09:00:00+09:00,197.2325,198.0598,195.8617,197.7194,29.63
