datetime,open,high,low,close,volume
2025-04-06 19:15:00+09:00,119.28,119.4529,118.9954,119.0099,354.09
2025-04-06 19:30:00+09:00,119.0099,119.0165,118.7726,118.8863,252.01
2025-04-06 19:45:00+09:00,118.8863,119.2056,118.8821,119.1905,219.44
2025-04-06 20:00:00+09:00,119.1905,119.1969,118.4012,118.4041,251.53
2025-04-06 20:15:00+09:00,118.4041,118.4069,118.302,118.3258,328.31
2025-04-06 20:30:00+09:00,118.3258,118.3484,118.3251,118.3384,245.21
2025-04-06 20:45:00+09:00,118.3384,118.4618,118.2475,118.4587,209.14
2025-04-06 21:00:00+09:00,118.4587,118.9561,118.4393,118.4415,314.54
2025-04-06 21:15:00+09:00,118.4415,118.5106,117.8242,118.042,369.72
2025-04-06 21:30:00+09:00,118.042,118.0454,117.1993,117.2398,563.85
2025-04-06 21:45:00+09:00,117.2398,117.2491,116.206,116.2157,762.96
2025-04-06 22:00:00+09:00,116.2157,116.2307,115.9882,115.9949,624.88
2025-04-06 22:15:00+09:00,115.9949,115.9956,114.7597,114.8496,1031.54
2025-04-06 22:30:00+09:00,114.8496,115.4875,114.8496,115.0591,830.5
2025-04-06 22:45:00+09:00,115.0591,115.0707,114.4024,114.7435,1134.43
2025-04-06 23:00:00+09:00,114.7435,115.335,114.5812,115.3282,938.71
2025-04-06 23:15:00+09:00,115.3282,115.3325,114.5,114.5318,756.28
2025-04-06 23:30:00+09:00,114.5318,115.215,114.5003,114.8228,759.17
2025-04-06 23:45:00+09:00,114.8228,115.5711,114.8168,115.4962,611.6
2025-04-07 00:00:00+09:00,115.4962,115.6092,115.1217,115.1316,521.79
2025-04-07 00:15:00+09:00,115.1316,115.1397,114.8361,114.847,488.32
2025-04-07 00:30:00+09:00,114.847,115.1633,114.8445,115.1504,299.32
2025-04-07 00:45:00+09:00,115.1504,115.2694,115.0541,115.1341,312.91
2025-04-07 01:00:00+09:00,115.1341,115.1349,114.6865,114.8164,508.16
2025-04-07 01:15:00+09:00,114.8164,115.0177,114.3804,115.0125,804.77
2025-04-07 01:30:00+09:00,115.0125,115.0244,114.4591,114.4594,374.84
2025-04-07 01:45:00+09:00,114.4594,114.5697,113.7628,113.9534,1075.56
2025-04-07 02:00:00+09:00,113.9534,114.04,113.6773,113.8942,1022.5
2025-04-07 02:15:00+09:00,113.8942,114.0834,112.9861,112.9898,1105.91
2025-04-07 02:30:00+09:00,112.9898,113.0741,110.2513,111.3718,2030.4
2025-04-07 02:45:00+09:00,111.3718,112.0823,110.84,111.0823,2208.56
2025-04-07 03:00:00+09:00,111.0823,111.1387,110.4049,110.422,2017.76
2025-04-07 03:15:00+09:00,110.422,110.4261,107.8748,107.8759,3726.61
2025-04-07 03:30:00+09:00,107.8759,109.6337,107.875,108.3615,2511.13
2025-04-07 03:45:00+09:00,108.3615,109.1916,107.2842,107.4995,3863.63
2025-04-07 04:00:00+09:00,107.4995,108.3415,106.1157,107.0959,2982.28
2025-04-07 04:15:00+09:00,107.0959,108.4038,107.0739,107.6949,2220.94
2025-04-07 04:30:00+09:00,107.6949,108.2708,107.5176,107.5381,1774.21
2025-04-07 04:45:00+09:00,107.5381,108.3539,107.153,108.1955,1155.97
2025-04-07 05:00:00+09:00,108.1955,108.2756,107.8279,107.8285,1076.6
2025-04-07 05:15:00+09:00,107.8285,108.1969,107.6478,107.8085,817.12
2025-04-07 05:30:00+09:00,107.8085,108.0962,105.749,107.886,2985.67
2025-04-07 05:45:00+09:00,107.886,107.8878,106.209,106.4501,1612.33
2025-04-07 06:00:00+09:00,106.4501,107.114,106.2582,106.9753,1631.31
2025-04-07 06:15:00+09:00,106.9753,107.8191,106.8042,107.0434,687.19
2025-04-07 06:30:00+09:00,107.0434,107.321,106.7923,107.0889,284.59
2025-04-07 06:45:00+09:00,107.0889,107.5306,106.85,106.8527,133.45
2025-04-07 07:00:00+09:00,106.8527,107.9751,106.1851,107.8416,895.89
2025-04-07 07:15:00+09:00,107.8416,107.8426,106.9038,107.4214,1186.36
2025-04-07 07:30:00+09:00,107.4214,107.4972,105.923,106.0585,957.28
2025-04-07 07:45:00+09:00,106.0585,106.2904,105.8247,105.8957,1028.41
2025-04-07 08:00:00+09:00,105.8957,106.0799,104.5177,105.1642,1699.39
2025-04-07 08:15:00+09:00,105.1642,105.4705,103.7639,104.423,1594.41
2025-04-07 08:30:00+09:00,104.423,106.192,104.4199,106.1623,1212.54
2025-04-07 08:45:00+09:00,106.1623,106.2672,105.6081,105.7759,800.5
2025-04-07 09:00:00+09:00,105.7759,105.9916,104.1786,104.1786,1410.42
2025-04-07 09:15:00+09:00,104.1786,105.1229,103.6916,104.8958,1480.84
2025-04-07 09:30:00+09:00,104.8958,104.933,103.4106,103.4191,1512.13
2025-04-07 09:45:00+09:00,103.4191,104.7988,103.3762,104.5564,1173.72
2025-04-07 10:00:00+09:00,104.5564,106.5034,104.5549,106.5017,1111.87
2025-04-07 10:15:00+09:00,106.5017,107.8107,106.1778,107.1109,1450.88
2025-04-07 10:30:00+09:00,107.1109,107.1769,106.1966,106.4392,1334.61
2025-04-07 10:45:00+09:00,106.4392,107.478,106.2265,107.458,882.82
2025-04-07 11:00:00+09:00,107.458,107.4611,106.8716,107.2226,637.55
2025-04-07 11:15:00+09:00,107.2226,107.2869,106.1459,106.4675,581.78
2025-04-07 11:30:00+09:00,106.4675,106.4689,105.4613,105.4646,716.01
2025-04-07 11:45:00+09:00,105.4646,105.9398,105.458,105.793,458.66
2025-04-07 12:00:00+09:00,105.793,105.9616,105.154,105.1566,501.72
2025-04-07 12:15:00+09:00,105.1566,105.7354,104.9985,105.7354,587.64
2025-04-07 12:30:00+09:00,105.7354,105.7354,102.2498,102.2528,1440.21
2025-04-07 12:45:00+09:00,102.2528,103.2089,102.2516,103.2087,1105.8
2025-04-07 13:00:00+09:00,103.2087,103.5716,101.9965,102.6923,997.49
2025-04-07 13:15:00+09:00,102.6923,103.6279,101.7547,103.136,1049.29
2025-04-07 13:30:00+09:00,103.136,103.1409,102.0641,102.4555,898.04
